coc_number,coc_name,unshelteredhomeless,unsheltered*1.4,sheltered,sheltered*.5,total,real_total,hospitalizations_15,critical_care_15,fatalities_15,hospitalizations_20,critical_care_20,fatalities_20
WA-503,"Tacoma, Lakewood/Pierce County CoC",629,881,520,260,1141,1401,60,20,10,72,29,14
WA-504,Everett/Snohomish County CoC,599,839,272,136,975,1111,48,16,8,57,23,11
WA-508,Vancouver/Clark County CoC,487,682,220,110,792,902,39,13,6,46,19,9
WI-500,Wisconsin Balance of State CoC,94,132,1323,662,793,1455,63,21,10,75,30,15
WI-501,Milwaukee City & County CoC,114,160,472,236,396,632,27,9,4,32,13,6
WI-502,Racine City & County CoC,12,17,136,68,85,153,7,2,1,8,3,2
WI-503,Madison/Dane County CoC,75,105,279,140,245,384,17,6,3,20,8,4
WV-500,"Wheeling, Weirton Area CoC",9,13,93,47,59,106,5,2,1,5,2,1
WV-501,"Huntington/Cabell, Wayne Counties CoC",49,69,100,50,119,169,7,2,1,9,4,2
WV-503,"Charleston/Kanawha, Putnam, Boone, Clay Counties CoC",2,3,234,117,120,237,10,3,2,12,5,2
WV-508,West Virginia Balance of State CoC,188,263,484,242,505,747,32,11,5,38,16,7
WY-500,Wyoming Statewide CoC,125,175,329,165,340,504,22,7,4,26,10,5
