coc_number,coc_name,unshelteredhomeless,unsheltered*1.4,sheltered,sheltered*.5,total,real_total,hospitalizations_15,critical_care_15,fatalities_15,hospitalizations_20,critical_care_20,fatalities_20
PA-510,Lancaster City & County CoC,12,17,234,117,134,251,11,4,2,13,5,3
PA-511,"Bristol, Bensalem/Bucks County CoC",21,29,135,68,97,164,7,2,1,8,3,2
PA-512,York City & County CoC,32,45,147,74,118,192,8,3,1,10,4,2
PA-600,"Pittsburgh, McKeesport, Penn Hills/Allegheny County CoC",48,67,481,241,308,548,24,8,4,28,11,5
PA-601,Western Pennsylvania CoC,34,48,433,217,264,481,21,7,3,25,10,5
PA-603,Beaver County CoC,6,8,46,23,31,54,2,1,0,3,1,1
PA-605,Erie City & County CoC,6,8,241,121,129,249,11,4,2,13,5,2
PR-502,Puerto Rico Balance of Commonwealth CoC,908,1271,308,154,1425,1579,68,23,11,81,33,16
PR-503,South-Southeast Puerto Rico CoC,992,1389,189,95,1483,1578,68,23,11,81,33,16
RI-500,Rhode Island Statewide CoC,71,99,663,332,431,762,33,11,5,39,16,8
SC-500,Charleston/Low Country CoC,128,179,219,110,289,398,17,6,3,20,8,4
SC-501,"Greenville, Anderson, Spartanburg/Upstate CoC",506,708,658,329,1037,1366,59,20,10,70,28,14
SC-502,Columbia/Midlands CoC,292,409,705,353,761,1114,48,16,8,57,23,11
SC-503,"Myrtle Beach, Sumter City & County CoC",791,1107,278,139,1246,1385,60,20,10,71,29,14
SD-500,South Dakota Statewide CoC,234,328,504,252,580,832,36,12,6,43,17,8
TN-500,Chattanooga/Southeast Tennessee CoC,181,253,202,101,354,455,20,7,3,23,9,5
TN-501,Memphis/Shelby County CoC,58,81,703,352,433,784,34,11,5,40,16,8
TN-502,Knoxville/Knox County CoC,195,273,531,266,539,804,35,12,6,41,17,8
TN-503,Central Tennessee CoC,47,66,219,110,175,285,12,4,2,15,6,3
TN-504,Nashville-Davidson County CoC,585,819,1216,608,1427,2035,88,29,14,105,42,20
TN-506,Upper Cumberland CoC,65,91,145,73,164,236,10,3,2,12,5,2
TN-507,Jackson/West Tennessee CoC,851,1191,58,29,1220,1249,54,18,9,64,26,13
TN-509,Appalachian Regional CoC,149,209,156,78,287,365,16,5,3,19,8,4
TN-510,Murfreesboro/Rutherford County CoC,162,227,173,87,313,400,17,6,3,21,8,4
TN-512,"Morristown/Blount, Sevier, Campbell, Cocke Counties CoC",305,427,105,53,480,532,23,8,4,27,11,5
TX-500,San Antonio/Bexar County CoC,1187,1662,887,444,2105,2549,110,37,18,131,53,26
TX-503,Austin/Travis County CoC,1086,1520,615,308,1828,2135,92,31,15,110,44,21
TX-600,"Dallas City & County, Irving CoC",1452,2033,2022,1011,3044,4055,175,59,28,208,84,41
TX-601,"Fort Worth, Arlington/Tarrant County CoC",560,784,1027,514,1298,1811,78,26,13,93,38,18
TX-603,El Paso City & County CoC,183,256,344,172,428,600,26,9,4,31,12,6
TX-604,Waco/McLennan County CoC,69,97,65,33,129,162,7,2,1,8,3,2
TX-607,Texas Balance of State CoC,4656,6518,1750,875,7393,8268,357,120,58,425,172,83
TX-611,Amarillo CoC,331,463,296,148,611,759,33,11,5,39,16,8
TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",63,88,158,79,167,246,11,4,2,13,5,2
TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",1614,2260,1304,652,2912,3564,154,52,25,183,74,36
TX-701,"Bryan, College Station/Brazos Valley CoC",21,29,74,37,66,103,4,1,1,5,2,1
UT-500,Salt Lake City & County CoC,193,270,1125,563,833,1395,60,20,10,72,29,14
UT-503,Utah Balance of State CoC,151,211,342,171,382,553,24,8,4,28,11,6
UT-504,Provo/Mountainland CoC,64,90,49,25,114,139,6,2,1,7,3,1
VA-500,"Richmond/Henrico, Chesterfield, Hanover Counties CoC",170,238,194,97,335,432,19,6,3,22,9,4
VA-501,"Norfolk, Chesapeake, Suffolk/Isle of Wight, Southampton Counties CoC",86,120,409,205,325,529,23,8,4,27,11,5
VA-502,"Roanoke City & County, Salem CoC",15,21,229,115,136,250,11,4,2,13,5,3
VA-503,Virginia Beach CoC,54,76,136,68,144,212,9,3,1,11,4,2
VA-504,Charlottesville CoC,26,36,117,59,95,153,7,2,1,8,3,2
VA-505,"Newport News, Hampton/Virginia Peninsula CoC",52,73,252,126,199,325,14,5,2,17,7,3
VA-507,Portsmouth CoC,11,15,69,35,50,84,4,1,1,4,2,1
VA-508,Lynchburg CoC,14,20,40,20,40,60,3,1,0,3,1,1
VA-513,"Harrisburg, Winchester/Western Virginia CoC",28,39,205,103,142,244,11,4,2,13,5,2
VA-514,"Fredericksburg/Spotsylvania, Stafford Counties CoC",36,50,96,48,98,146,6,2,1,8,3,1
VA-521,Virginia Balance of State CoC,124,174,289,145,318,463,20,7,3,24,10,5
VA-600,Arlington County CoC,36,50,113,57,107,163,7,2,1,8,3,2
VA-601,Fairfax County CoC,89,125,419,210,334,544,23,8,4,28,11,5
VA-602,Loudoun County CoC,71,99,53,27,126,152,7,2,1,8,3,2
VA-603,Alexandria CoC,10,14,103,52,66,117,5,2,1,6,2,1
VA-604,Prince William County CoC,37,52,80,40,92,132,6,2,1,7,3,1
VI-500,Virgin Islands CoC,232,325,82,41,366,407,18,6,3,21,8,4
VT-500,Vermont Balance of State CoC,66,92,389,195,287,481,21,7,3,25,10,5
VT-501,Burlington/Chittenden County CoC,48,67,180,90,157,247,11,4,2,13,5,2
WA-500,Seattle/King County CoC,5228,7319,3540,1770,9089,10859,469,157,76,558,225,109
WA-501,Washington Balance of State CoC,2299,3219,1789,895,4113,5008,216,73,35,257,104,50
WA-502,Spokane City & County CoC,315,441,711,356,797,1152,50,17,8,59,24,12
